"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Czech Republic (CZ)","02.01.2021 04:00 - 02.01.2021 05:00 (CET)","283","2970","249","308","208","7","n/e","n/e","n/e","0","60","151","10","n/e","3466","51","268","0","24","n/e","23"
"Czech Republic (CZ)","02.01.2021 05:00 - 02.01.2021 06:00 (CET)","284","3051","252","314","205","7","n/e","n/e","n/e","0","0","151","10","n/e","3466","52","268","0","24","n/e","25"
"Czech Republic (CZ)","02.01.2021 06:00 - 02.01.2021 07:00 (CET)","286","3362","250","333","203","7","n/e","n/e","n/e","0","0","150","15","n/e","3467","71","277","0","24","n/e","29"
"Czech Republic (CZ)","02.01.2021 07:00 - 02.01.2021 08:00 (CET)","294","3750","250","426","205","7","n/e","n/e","n/e","0","0","147","42","n/e","3467","78","282","2","24","n/e","27"
"Czech Republic (CZ)","02.01.2021 08:00 - 02.01.2021 09:00 (CET)","294","3677","239","738","205","7","n/e","n/e","n/e","0","0","146","43","n/e","3466","80","283","13","24","n/e","26"
"Czech Republic (CZ)","02.01.2021 09:00 - 02.01.2021 10:00 (CET)","293","3925","253","1057","210","7","n/e","n/e","n/e","167","0","140","156","n/e","3467","79","283","62","24","n/e","25"
"Czech Republic (CZ)","02.01.2021 10:00 - 02.01.2021 11:00 (CET)","296","4037","256","1145","217","7","n/e","n/e","n/e","73","0","138","178","n/e","3465","84","286","105","24","n/e","23"
"Czech Republic (CZ)","02.01.2021 11:00 - 02.01.2021 12:00 (CET)","298","4095","256","1159","220","7","n/e","n/e","n/e","71","0","137","183","n/e","3465","85","288","121","24","n/e","22"
"Czech Republic (CZ)","02.01.2021 12:00 - 02.01.2021 13:00 (CET)","296","4099","256","1165","218","7","n/e","n/e","n/e","167","0","138","179","n/e","3466","87","287","137","24","n/e","21"
"Czech Republic (CZ)","02.01.2021 13:00 - 02.01.2021 14:00 (CET)","297","4081","255","1099","217","7","n/e","n/e","n/e","2","0","139","177","n/e","3462","81","285","153","24","n/e","23"
