"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Czech Republic (CZ)","07.03.2021 14:00 - 07.03.2021 15:00 (CET)","287","2202","253","347","276","0","n/e","n/e","n/e","0","926","199","30","n/e","3233","43","275","1198","21","n/e","68"
"Czech Republic (CZ)","07.03.2021 15:00 - 07.03.2021 16:00 (CET)","288","2298","249","348","277","0","n/e","n/e","n/e","0","617","198","31","n/e","3288","46","274","863","21","n/e","45"
"Czech Republic (CZ)","07.03.2021 16:00 - 07.03.2021 17:00 (CET)","288","2510","258","441","283","0","n/e","n/e","n/e","0","25","197","35","n/e","3339","46","276","418","22","n/e","35"
"Czech Republic (CZ)","07.03.2021 17:00 - 07.03.2021 18:00 (CET)","290","2677","282","775","286","1","n/e","n/e","n/e","0","0","197","53","n/e","3394","49","279","58","22","n/e","34"
"Czech Republic (CZ)","07.03.2021 18:00 - 07.03.2021 19:00 (CET)","289","2952","294","1116","310","1","n/e","n/e","n/e","11","0","189","258","n/e","3455","55","282","3","22","n/e","48"
"Czech Republic (CZ)","07.03.2021 19:00 - 07.03.2021 20:00 (CET)","289","2988","284","1195","331","0","n/e","n/e","n/e","447","0","188","301","n/e","3485","59","286","0","22","n/e","61"
"Czech Republic (CZ)","07.03.2021 20:00 - 07.03.2021 21:00 (CET)","288","2931","290","1191","309","1","n/e","n/e","n/e","205","0","189","226","n/e","3486","56","286","0","22","n/e","70"
"Czech Republic (CZ)","07.03.2021 21:00 - 07.03.2021 22:00 (CET)","289","2906","293","1191","293","1","n/e","n/e","n/e","11","0","193","141","n/e","3487","53","284","0","22","n/e","81"
"Czech Republic (CZ)","07.03.2021 22:00 - 07.03.2021 23:00 (CET)","287","2867","270","1177","286","0","n/e","n/e","n/e","0","0","194","119","n/e","3488","33","275","0","22","n/e","72"
"Czech Republic (CZ)","07.03.2021 23:00 - 08.03.2021 00:00 (CET)","288","2731","267","1146","286","0","n/e","n/e","n/e","0","0","199","37","n/e","3490","30","273","0","22","n/e","72"
"Czech Republic (CZ)","08.03.2021 00:00 - 08.03.2021 01:00 (CET)","286","2592","269","1104","286","0","n/e","n/e","n/e","0","0","199","36","n/e","3490","30","271","0","22","n/e","61"
"Czech Republic (CZ)","08.03.2021 01:00 - 08.03.2021 02:00 (CET)","283","2657","268","1118","282","0","n/e","n/e","n/e","0","101","199","36","n/e","3489","31","272","0","22","n/e","70"
"Czech Republic (CZ)","08.03.2021 02:00 - 08.03.2021 03:00 (CET)","287","2758","270","1132","286","0","n/e","n/e","n/e","0","410","199","37","n/e","3493","33","272","0","22","n/e","75"
"Czech Republic (CZ)","08.03.2021 03:00 - 08.03.2021 04:00 (CET)","288","2801","269","1053","285","0","n/e","n/e","n/e","0","166","198","35","n/e","3492","33","271","0","22","n/e","68"
"Czech Republic (CZ)","08.03.2021 04:00 - 08.03.2021 05:00 (CET)","288","2891","260","1147","287","1","n/e","n/e","n/e","0","204","199","35","n/e","3490","35","271","0","22","n/e","50"
"Czech Republic (CZ)","08.03.2021 05:00 - 08.03.2021 06:00 (CET)","287","3090","260","1148","301","1","n/e","n/e","n/e","0","0","198","34","n/e","3489","41","272","1","22","n/e","44"
"Czech Republic (CZ)","08.03.2021 06:00 - 08.03.2021 07:00 (CET)","289","3645","264","1213","348","9","n/e","n/e","n/e","86","0","186","426","n/e","3491","64","281","10","22","n/e","34"
"Czech Republic (CZ)","08.03.2021 07:00 - 08.03.2021 08:00 (CET)","290","3881","271","1235","373","10","n/e","n/e","n/e","431","0","183","634","n/e","3491","68","281","117","23","n/e","26"
"Czech Republic (CZ)","08.03.2021 08:00 - 08.03.2021 09:00 (CET)","292","4002","261","1226","375","9","n/e","n/e","n/e","454","0","185","680","n/e","3486","65","279","228","23","n/e","26"
"Czech Republic (CZ)","08.03.2021 09:00 - 08.03.2021 10:00 (CET)","292","4079","260","1225","382","11","n/e","n/e","n/e","284","0","182","662","n/e","3489","67","279","306","23","n/e","22"
"Czech Republic (CZ)","08.03.2021 10:00 - 08.03.2021 11:00 (CET)","295","4023","250","1214","374","8","n/e","n/e","n/e","83","0","187","244","n/e","3488","68","282","459","23","n/e","25"
"Czech Republic (CZ)","08.03.2021 11:00 - 08.03.2021 12:00 (CET)","297","4035","265","1203","339","8","n/e","n/e","n/e","0","0","192","144","n/e","3487","66","281","538","23","n/e","25"
"Czech Republic (CZ)","08.03.2021 12:00 - 08.03.2021 13:00 (CET)","296","3974","263","1187","303","8","n/e","n/e","n/e","0","0","197","62","n/e","3486","64","282","588","23","n/e","26"
"Czech Republic (CZ)","08.03.2021 13:00 - 08.03.2021 14:00 (CET)","297","3870","278","1182","294","9","n/e","n/e","n/e","0","0","197","62","n/e","3485","65","282","606","23","n/e","25"
"Czech Republic (CZ)","08.03.2021 14:00 - 08.03.2021 15:00 (CET)","300","3840","278","1174","286","8","n/e","n/e","n/e","0","0","196","61","n/e","3487","60","281","518","24","n/e","33"
"Czech Republic (CZ)","08.03.2021 15:00 - 08.03.2021 16:00 (CET)","301","3932","275","1189","328","9","n/e","n/e","n/e","0","0","196","62","n/e","3486","60","284","393","23","n/e","30"
"Czech Republic (CZ)","08.03.2021 16:00 - 08.03.2021 17:00 (CET)","301","3937","258","1177","317","8","n/e","n/e","n/e","0","0","194","169","n/e","3486","66","286","212","23","n/e","28"
"Czech Republic (CZ)","08.03.2021 17:00 - 08.03.2021 18:00 (CET)","298","3987","255","1203","341","8","n/e","n/e","n/e","287","0","190","319","n/e","3488","66","285","34","23","n/e","29"
"Czech Republic (CZ)","08.03.2021 18:00 - 08.03.2021 19:00 (CET)","296","4030","253","1215","359","9","n/e","n/e","n/e","778","0","189","417","n/e","3487","67","286","3","23","n/e","29"
"Czech Republic (CZ)","08.03.2021 19:00 - 08.03.2021 20:00 (CET)","294","4027","251","1216","359","8","n/e","n/e","n/e","785","0","187","413","n/e","3487","69","287","0","23","n/e","28"
"Czech Republic (CZ)","08.03.2021 20:00 - 08.03.2021 21:00 (CET)","297","4041","262","1209","361","10","n/e","n/e","n/e","225","0","188","369","n/e","3490","66","286","0","22","n/e","23"
"Czech Republic (CZ)","08.03.2021 21:00 - 08.03.2021 22:00 (CET)","292","3970","276","1199","358","9","n/e","n/e","n/e","0","0","189","288","n/e","3489","60","284","0","22","n/e","20"
"Czech Republic (CZ)","08.03.2021 22:00 - 08.03.2021 23:00 (CET)","292","3960","265","1177","336","1","n/e","n/e","n/e","0","0","193","136","n/e","3489","39","273","0","23","n/e","19"
"Czech Republic (CZ)","08.03.2021 23:00 - 09.03.2021 00:00 (CET)","290","3719","261","1153","305","0","n/e","n/e","n/e","0","0","197","68","n/e","3490","30","270","0","22","n/e","19"
"Czech Republic (CZ)","09.03.2021 00:00 - 09.03.2021 01:00 (CET)","285","3238","253","1148","277","0","n/e","n/e","n/e","0","218","200","56","n/e","3492","25","263","0","22","n/e","17"
"Czech Republic (CZ)","09.03.2021 01:00 - 09.03.2021 02:00 (CET)","287","3165","256","1151","287","2","n/e","n/e","n/e","0","902","200","56","n/e","3490","26","263","0","22","n/e","17"
"Czech Republic (CZ)","09.03.2021 02:00 - 09.03.2021 03:00 (CET)","286","3170","255","1156","280","0","n/e","n/e","n/e","0","940","200","55","n/e","3490","28","262","0","22","n/e","17"
"Czech Republic (CZ)","09.03.2021 03:00 - 09.03.2021 04:00 (CET)","286","3154","255","1149","284","0","n/e","n/e","n/e","0","933","200","55","n/e","3494","28","260","0","22","n/e","18"
"Czech Republic (CZ)","09.03.2021 04:00 - 09.03.2021 05:00 (CET)","285","3212","259","1169","293","2","n/e","n/e","n/e","0","906","200","54","n/e","3494","30","260","0","22","n/e","17"
"Czech Republic (CZ)","09.03.2021 05:00 - 09.03.2021 06:00 (CET)","287","3570","252","1168","304","1","n/e","n/e","n/e","0","195","200","59","n/e","3495","35","262","1","22","n/e","19"
"Czech Republic (CZ)","09.03.2021 06:00 - 09.03.2021 07:00 (CET)","286","3873","259","1211","324","6","n/e","n/e","n/e","0","0","190","398","n/e","3498","59","273","20","22","n/e","21"
"Czech Republic (CZ)","09.03.2021 07:00 - 09.03.2021 08:00 (CET)","284","3974","257","1227","349","9","n/e","n/e","n/e","573","0","188","560","n/e","3499","63","276","226","22","n/e","24"
"Czech Republic (CZ)","09.03.2021 08:00 - 09.03.2021 09:00 (CET)","283","3955","256","1234","359","8","n/e","n/e","n/e","448","0","188","560","n/e","3498","60","274","564","22","n/e","21"
"Czech Republic (CZ)","09.03.2021 09:00 - 09.03.2021 10:00 (CET)","287","3905","257","1226","362","8","n/e","n/e","n/e","286","0","181","555","n/e","3497","58","269","842","21","n/e","13"
"Czech Republic (CZ)","09.03.2021 10:00 - 09.03.2021 11:00 (CET)","290","3832","284","1222","351","9","n/e","n/e","n/e","3","0","184","332","n/e","3495","58","269","1030","16","n/e","14"
"Czech Republic (CZ)","09.03.2021 11:00 - 09.03.2021 12:00 (CET)","293","3878","284","1215","321","9","n/e","n/e","n/e","0","0","188","161","n/e","3491","59","271","1103","16","n/e","15"
"Czech Republic (CZ)","09.03.2021 12:00 - 09.03.2021 13:00 (CET)","286","3901","284","1200","295","8","n/e","n/e","n/e","0","0","193","140","n/e","3488","54","272","1072","16","n/e","11"
"Czech Republic (CZ)","09.03.2021 13:00 - 09.03.2021 14:00 (CET)","297","3899","284","1206","299","9","n/e","n/e","n/e","0","0","197","133","n/e","3490","49","272","915","16","n/e","9"
"Czech Republic (CZ)","09.03.2021 14:00 - 09.03.2021 15:00 (CET)","292","3888","283","1199","315","9","n/e","n/e","n/e","0","0","198","139","n/e","3488","50","272","714","16","n/e","7"
"Czech Republic (CZ)","09.03.2021 15:00 - 09.03.2021 16:00 (CET)","291","3911","285","1206","347","9","n/e","n/e","n/e","0","0","198","143","n/e","3488","54","273","492","16","n/e","7"
"Czech Republic (CZ)","09.03.2021 16:00 - 09.03.2021 17:00 (CET)","291","4080","277","1214","357","10","n/e","n/e","n/e","0","0","194","320","n/e","3488","59","279","235","16","n/e","7"
"Czech Republic (CZ)","09.03.2021 17:00 - 09.03.2021 18:00 (CET)","291","4144","258","1217","362","9","n/e","n/e","n/e","389","0","192","469","n/e","3485","61","281","38","16","n/e","8"
"Czech Republic (CZ)","09.03.2021 18:00 - 09.03.2021 19:00 (CET)","288","4154","256","1221","362","8","n/e","n/e","n/e","781","0","192","497","n/e","3489","62","283","3","16","n/e","10"
"Czech Republic (CZ)","09.03.2021 19:00 - 09.03.2021 20:00 (CET)","288","4163","256","1224","357","8","n/e","n/e","n/e","833","0","192","495","n/e","3488","65","285","0","16","n/e","11"
"Czech Republic (CZ)","09.03.2021 20:00 - 09.03.2021 21:00 (CET)","288","4137","265","1222","357","8","n/e","n/e","n/e","429","0","192","466","n/e","3488","64","285","0","16","n/e","11"
"Czech Republic (CZ)","09.03.2021 21:00 - 09.03.2021 22:00 (CET)","288","4082","278","1212","353","10","n/e","n/e","n/e","9","0","194","359","n/e","3489","61","284","0","16","n/e","12"
"Czech Republic (CZ)","09.03.2021 22:00 - 09.03.2021 23:00 (CET)","287","4056","256","1178","337","2","n/e","n/e","n/e","0","0","195","274","n/e","3490","37","275","0","16","n/e","11"
"Czech Republic (CZ)","09.03.2021 23:00 - 10.03.2021 00:00 (CET)","288","3609","251","1140","316","0","n/e","n/e","n/e","0","0","197","205","n/e","3490","28","271","0","16","n/e","10"
"Czech Republic (CZ)","10.03.2021 00:00 - 10.03.2021 01:00 (CET)","272","3247","275","1141","299","0","n/e","n/e","n/e","0","0","202","60","n/e","3494","26","269","0","16","n/e","10"
"Czech Republic (CZ)","10.03.2021 01:00 - 10.03.2021 02:00 (CET)","286","3236","276","1144","301","0","n/e","n/e","n/e","0","0","202","47","n/e","3496","27","267","0","16","n/e","10"
"Czech Republic (CZ)","10.03.2021 02:00 - 10.03.2021 03:00 (CET)","292","3215","277","1150","303","1","n/e","n/e","n/e","0","807","202","47","n/e","3498","28","268","0","16","n/e","10"
"Czech Republic (CZ)","10.03.2021 03:00 - 10.03.2021 04:00 (CET)","291","3231","265","1149","300","0","n/e","n/e","n/e","0","949","201","37","n/e","3497","28","268","0","16","n/e","9"
"Czech Republic (CZ)","10.03.2021 04:00 - 10.03.2021 05:00 (CET)","288","3233","273","1154","303","0","n/e","n/e","n/e","0","924","201","36","n/e","3497","30","267","0","16","n/e","8"
"Czech Republic (CZ)","10.03.2021 05:00 - 10.03.2021 06:00 (CET)","289","3465","271","1161","315","0","n/e","n/e","n/e","0","36","199","35","n/e","3497","37","269","1","16","n/e","8"
"Czech Republic (CZ)","10.03.2021 06:00 - 10.03.2021 07:00 (CET)","290","4085","282","1199","328","0","n/e","n/e","n/e","17","0","193","139","n/e","3496","57","278","14","16","n/e","7"
"Czech Republic (CZ)","10.03.2021 07:00 - 10.03.2021 08:00 (CET)","290","4200","274","1209","330","1","n/e","n/e","n/e","613","0","187","276","n/e","3496","62","279","176","16","n/e","6"
"Czech Republic (CZ)","10.03.2021 08:00 - 10.03.2021 09:00 (CET)","293","4163","273","1203","333","0","n/e","n/e","n/e","624","0","187","286","n/e","3497","62","279","460","16","n/e","5"
"Czech Republic (CZ)","10.03.2021 09:00 - 10.03.2021 10:00 (CET)","289","4094","282","1197","345","0","n/e","n/e","n/e","366","0","190","203","n/e","3497","59","277","744","16","n/e","5"
"Czech Republic (CZ)","10.03.2021 10:00 - 10.03.2021 11:00 (CET)","290","3893","292","1189","314","1","n/e","n/e","n/e","14","0","189","171","n/e","3495","61","276","941","16","n/e","5"
"Czech Republic (CZ)","10.03.2021 11:00 - 10.03.2021 12:00 (CET)","295","3502","294","1186","300","0","n/e","n/e","n/e","0","0","196","46","n/e","3496","60","279","1037","16","n/e","5"
"Czech Republic (CZ)","10.03.2021 12:00 - 10.03.2021 13:00 (CET)","299","3434","292","1170","300","0","n/e","n/e","n/e","0","0","199","41","n/e","3496","61","281","1060","16","n/e","5"
"Czech Republic (CZ)","10.03.2021 13:00 - 10.03.2021 14:00 (CET)","300","3353","288","1161","283","0","n/e","n/e","n/e","0","0","200","37","n/e","3494","56","279","942","16","n/e","6"
"Czech Republic (CZ)","10.03.2021 14:00 - 10.03.2021 15:00 (CET)","299","3395","293","1167","285","0","n/e","n/e","n/e","0","0","200","30","n/e","3492","50","279","742","16","n/e","7"
"Czech Republic (CZ)","10.03.2021 15:00 - 10.03.2021 16:00 (CET)","297","3420","283","1177","297","0","n/e","n/e","n/e","0","0","200","30","n/e","3492","54","281","526","16","n/e","10"
"Czech Republic (CZ)","10.03.2021 16:00 - 10.03.2021 17:00 (CET)","297","3436","292","1181","296","0","n/e","n/e","n/e","0","0","194","100","n/e","3494","58","283","257","16","n/e","10"
"Czech Republic (CZ)","10.03.2021 17:00 - 10.03.2021 18:00 (CET)","293","3675","284","1188","300","0","n/e","n/e","n/e","0","0","189","239","n/e","3491","59","284","44","16","n/e","15"
"Czech Republic (CZ)","10.03.2021 18:00 - 10.03.2021 19:00 (CET)","289","4175","275","1205","318","1","n/e","n/e","n/e","222","0","188","301","n/e","3481","57","283","3","16","n/e","23"
"Czech Republic (CZ)","10.03.2021 19:00 - 10.03.2021 20:00 (CET)","288","4187","273","1202","353","0","n/e","n/e","n/e","223","0","188","303","n/e","3478","59","285","0","16","n/e","33"
"Czech Republic (CZ)","10.03.2021 20:00 - 10.03.2021 21:00 (CET)","288","4128","282","1203","339","1","n/e","n/e","n/e","4","0","189","243","n/e","3489","60","286","0","16","n/e","44"
"Czech Republic (CZ)","10.03.2021 21:00 - 10.03.2021 22:00 (CET)","288","3885","277","1157","317","1","n/e","n/e","n/e","0","0","191","182","n/e","3491","56","283","0","16","n/e","46"
"Czech Republic (CZ)","10.03.2021 22:00 - 10.03.2021 23:00 (CET)","288","3386","275","1148","302","1","n/e","n/e","n/e","0","0","191","163","n/e","3493","31","273","0","16","n/e","59"
"Czech Republic (CZ)","10.03.2021 23:00 - 11.03.2021 00:00 (CET)","286","3233","269","564","281","0","n/e","n/e","n/e","0","0","198","35","n/e","3493","30","273","0","16","n/e","72"
"Czech Republic (CZ)","11.03.2021 00:00 - 11.03.2021 01:00 (CET)","286","2815","254","348","277","0","n/e","n/e","n/e","0","307","200","24","n/e","3493","29","271","0","16","n/e","88"
"Czech Republic (CZ)","11.03.2021 01:00 - 11.03.2021 02:00 (CET)","286","2748","255","347","281","0","n/e","n/e","n/e","0","945","199","23","n/e","3494","29","270","0","16","n/e","107"
"Czech Republic (CZ)","11.03.2021 02:00 - 11.03.2021 03:00 (CET)","287","2743","256","351","231","0","n/e","n/e","n/e","0","948","199","23","n/e","3498","32","271","0","16","n/e","124"
"Czech Republic (CZ)","11.03.2021 03:00 - 11.03.2021 04:00 (CET)","288","2821","257","357","256","0","n/e","n/e","n/e","0","940","199","23","n/e","3495","32","270","0","16","n/e","132"
"Czech Republic (CZ)","11.03.2021 04:00 - 11.03.2021 05:00 (CET)","288","2761","254","363","293","0","n/e","n/e","n/e","0","853","196","61","n/e","3491","34","270","0","16","n/e","148"
"Czech Republic (CZ)","11.03.2021 05:00 - 11.03.2021 06:00 (CET)","288","2883","254","639","273","0","n/e","n/e","n/e","0","5","193","95","n/e","3492","37","270","2","16","n/e","159"
"Czech Republic (CZ)","11.03.2021 06:00 - 11.03.2021 07:00 (CET)","287","3310","270","1157","277","0","n/e","n/e","n/e","0","0","188","242","n/e","3492","56","278","11","16","n/e","166"
"Czech Republic (CZ)","11.03.2021 07:00 - 11.03.2021 08:00 (CET)","287","3559","273","1192","279","0","n/e","n/e","n/e","66","0","187","295","n/e","3491","67","279","89","16","n/e","184"
"Czech Republic (CZ)","11.03.2021 08:00 - 11.03.2021 09:00 (CET)","288","3590","273","1172","281","0","n/e","n/e","n/e","0","0","186","331","n/e","3491","67","281","191","16","n/e","203"
"Czech Republic (CZ)","11.03.2021 09:00 - 11.03.2021 10:00 (CET)","287","3613","268","1208","278","0","n/e","n/e","n/e","0","0","186","319","n/e","3493","69","280","218","16","n/e","202"
"Czech Republic (CZ)","11.03.2021 10:00 - 11.03.2021 11:00 (CET)","290","3567","284","1126","284","0","n/e","n/e","n/e","0","0","192","147","n/e","3492","68","282","220","16","n/e","199"
"Czech Republic (CZ)","11.03.2021 11:00 - 11.03.2021 12:00 (CET)","289","3466","284","1175","213","0","n/e","n/e","n/e","176","0","197","51","n/e","3491","68","283","222","16","n/e","171"
"Czech Republic (CZ)","11.03.2021 12:00 - 11.03.2021 13:00 (CET)","289","3437","274","1172","196","0","n/e","n/e","n/e","185","0","199","35","n/e","3489","63","280","212","16","n/e","200"
"Czech Republic (CZ)","11.03.2021 13:00 - 11.03.2021 14:00 (CET)","290","3474","277","1172","203","1","n/e","n/e","n/e","171","0","199","34","n/e","3487","58","278","178","16","n/e","202"
"Czech Republic (CZ)","11.03.2021 14:00 - 11.03.2021 15:00 (CET)","288","3415","273","1163","195","0","n/e","n/e","n/e","31","0","199","34","n/e","3483","62","280","162","16","n/e","225"
"Czech Republic (CZ)","11.03.2021 15:00 - 11.03.2021 16:00 (CET)","283","3460","273","1168","192","0","n/e","n/e","n/e","141","0","199","34","n/e","3480","63","282","152","16","n/e","237"
"Czech Republic (CZ)","11.03.2021 16:00 - 11.03.2021 17:00 (CET)","290","3606","280","1207","203","3","n/e","n/e","n/e","151","0","192","171","n/e","3480","71","287","66","16","n/e","231"
"Czech Republic (CZ)","11.03.2021 17:00 - 11.03.2021 18:00 (CET)","293","3504","274","1204","199","1","n/e","n/e","n/e","181","0","187","415","n/e","3477","68","287","17","16","n/e","252"
"Czech Republic (CZ)","11.03.2021 18:00 - 11.03.2021 19:00 (CET)","292","3418","272","1196","195","0","n/e","n/e","n/e","341","0","187","424","n/e","3477","66","288","3","16","n/e","255"
"Czech Republic (CZ)","11.03.2021 19:00 - 11.03.2021 20:00 (CET)","293","3458","280","1204","183","0","n/e","n/e","n/e","489","0","187","430","n/e","3477","66","287","0","16","n/e","243"
"Czech Republic (CZ)","11.03.2021 20:00 - 11.03.2021 21:00 (CET)","291","3386","285","1198","183","1","n/e","n/e","n/e","84","0","188","415","n/e","3477","63","287","0","16","n/e","230"
"Czech Republic (CZ)","11.03.2021 21:00 - 11.03.2021 22:00 (CET)","292","3043","257","1135","185","1","n/e","n/e","n/e","0","0","192","227","n/e","3478","52","281","0","16","n/e","230"
"Czech Republic (CZ)","11.03.2021 22:00 - 11.03.2021 23:00 (CET)","289","2883","254","560","182","0","n/e","n/e","n/e","0","0","200","61","n/e","3478","31","271","0","16","n/e","225"
"Czech Republic (CZ)","11.03.2021 23:00 - 12.03.2021 00:00 (CET)","288","2626","258","347","177","0","n/e","n/e","n/e","0","0","199","43","n/e","3477","29","270","0","16","n/e","209"
"Czech Republic (CZ)","12.03.2021 00:00 - 12.03.2021 01:00 (CET)","286","2642","256","345","178","0","n/e","n/e","n/e","0","0","193","109","n/e","3478","29","268","0","16","n/e","204"
"Czech Republic (CZ)","12.03.2021 01:00 - 12.03.2021 02:00 (CET)","286","2639","257","345","179","0","n/e","n/e","n/e","0","0","198","32","n/e","3479","29","268","0","16","n/e","222"
"Czech Republic (CZ)","12.03.2021 02:00 - 12.03.2021 03:00 (CET)","289","2562","256","346","183","0","n/e","n/e","n/e","0","0","199","30","n/e","3477","32","269","0","16","n/e","201"
"Czech Republic (CZ)","12.03.2021 03:00 - 12.03.2021 04:00 (CET)","291","2633","256","349","173","0","n/e","n/e","n/e","0","415","199","30","n/e","3475","33","269","0","16","n/e","182"
"Czech Republic (CZ)","12.03.2021 04:00 - 12.03.2021 05:00 (CET)","290","2631","254","351","173","0","n/e","n/e","n/e","0","115","199","29","n/e","3476","35","269","0","16","n/e","214"
"Czech Republic (CZ)","12.03.2021 05:00 - 12.03.2021 06:00 (CET)","291","2655","251","630","172","0","n/e","n/e","n/e","0","0","198","28","n/e","3477","38","269","2","16","n/e","221"
"Czech Republic (CZ)","12.03.2021 06:00 - 12.03.2021 07:00 (CET)","294","3063","261","1158","175","0","n/e","n/e","n/e","81","0","191","130","n/e","3478","58","279","10","16","n/e","241"
"Czech Republic (CZ)","12.03.2021 07:00 - 12.03.2021 08:00 (CET)","293","3304","267","1209","170","0","n/e","n/e","n/e","81","0","186","280","n/e","3481","66","283","166","16","n/e","242"
"Czech Republic (CZ)","12.03.2021 08:00 - 12.03.2021 09:00 (CET)","295","3268","267","1197","179","0","n/e","n/e","n/e","132","0","186","287","n/e","3485","68","282","419","16","n/e","244"
"Czech Republic (CZ)","12.03.2021 09:00 - 12.03.2021 10:00 (CET)","294","3157","268","1151","182","0","n/e","n/e","n/e","80","0","184","275","n/e","3484","70","281","680","16","n/e","230"
"Czech Republic (CZ)","12.03.2021 10:00 - 12.03.2021 11:00 (CET)","296","3146","262","1182","176","0","n/e","n/e","n/e","0","0","188","162","n/e","3482","66","283","792","16","n/e","229"
"Czech Republic (CZ)","12.03.2021 11:00 - 12.03.2021 12:00 (CET)","291","3113","261","1163","184","0","n/e","n/e","n/e","0","0","190","88","n/e","3481","64","283","791","16","n/e","222"
"Czech Republic (CZ)","12.03.2021 12:00 - 12.03.2021 13:00 (CET)","296","3169","261","1131","180","0","n/e","n/e","n/e","0","0","194","44","n/e","3480","63","283","805","16","n/e","202"
"Czech Republic (CZ)","12.03.2021 13:00 - 12.03.2021 14:00 (CET)","298","3129","259","1135","182","0","n/e","n/e","n/e","0","0","194","42","n/e","3480","58","281","757","16","n/e","219"
"Czech Republic (CZ)","12.03.2021 14:00 - 12.03.2021 15:00 (CET)","301","3067","261","1130","177","0","n/e","n/e","n/e","0","0","194","43","n/e","3478","52","278","622","16","n/e","203"
"Czech Republic (CZ)","12.03.2021 15:00 - 12.03.2021 16:00 (CET)","301","3244","261","1147","181","0","n/e","n/e","n/e","0","0","195","45","n/e","3478","50","279","482","16","n/e","174"
"Czech Republic (CZ)","12.03.2021 16:00 - 12.03.2021 17:00 (CET)","300","3245","256","1149","179","0","n/e","n/e","n/e","67","0","191","115","n/e","3476","52","281","283","16","n/e","144"
"Czech Republic (CZ)","12.03.2021 17:00 - 12.03.2021 18:00 (CET)","300","3253","259","1173","182","0","n/e","n/e","n/e","138","0","185","331","n/e","3478","56","284","64","16","n/e","111"
"Czech Republic (CZ)","12.03.2021 18:00 - 12.03.2021 19:00 (CET)","301","3365","262","1189","186","0","n/e","n/e","n/e","604","0","185","353","n/e","3480","60","285","3","16","n/e","93"
"Czech Republic (CZ)","12.03.2021 19:00 - 12.03.2021 20:00 (CET)","300","3417","266","1195","185","1","n/e","n/e","n/e","561","0","184","361","n/e","3480","63","288","0","16","n/e","135"
"Czech Republic (CZ)","12.03.2021 20:00 - 12.03.2021 21:00 (CET)","301","3362","260","1195","185","0","n/e","n/e","n/e","112","0","185","275","n/e","3480","60","287","0","16","n/e","169"
"Czech Republic (CZ)","12.03.2021 21:00 - 12.03.2021 22:00 (CET)","294","3002","257","1177","186","1","n/e","n/e","n/e","0","0","185","202","n/e","3482","57","284","0","16","n/e","212"
"Czech Republic (CZ)","12.03.2021 22:00 - 12.03.2021 23:00 (CET)","292","2799","246","551","180","0","n/e","n/e","n/e","0","11","186","170","n/e","3483","33","273","0","16","n/e","224"
"Czech Republic (CZ)","12.03.2021 23:00 - 13.03.2021 00:00 (CET)","292","2479","259","351","170","0","n/e","n/e","n/e","0","538","193","49","n/e","3481","30","270","0","16","n/e","221"
"Czech Republic (CZ)","13.03.2021 00:00 - 13.03.2021 01:00 (CET)","287","2081","251","344","173","4","n/e","n/e","n/e","0","371","194","34","n/e","3480","28","268","0","20","n/e","221"
"Czech Republic (CZ)","13.03.2021 01:00 - 13.03.2021 02:00 (CET)","287","1993","246","344","174","5","n/e","n/e","n/e","0","662","194","28","n/e","3481","29","267","0","20","n/e","199"
"Czech Republic (CZ)","13.03.2021 02:00 - 13.03.2021 03:00 (CET)","286","2048","256","346","172","3","n/e","n/e","n/e","0","843","194","27","n/e","3482","33","268","0","20","n/e","215"
"Czech Republic (CZ)","13.03.2021 03:00 - 13.03.2021 04:00 (CET)","286","2015","248","346","172","4","n/e","n/e","n/e","0","705","193","26","n/e","3481","33","266","0","20","n/e","192"
"Czech Republic (CZ)","13.03.2021 04:00 - 13.03.2021 05:00 (CET)","285","2033","252","352","173","3","n/e","n/e","n/e","0","551","192","26","n/e","3479","34","267","0","20","n/e","195"
"Czech Republic (CZ)","13.03.2021 05:00 - 13.03.2021 06:00 (CET)","286","2059","256","355","174","3","n/e","n/e","n/e","0","629","192","27","n/e","3480","36","267","2","20","n/e","188"
"Czech Republic (CZ)","13.03.2021 06:00 - 13.03.2021 07:00 (CET)","286","2142","265","362","177","3","n/e","n/e","n/e","0","125","190","41","n/e","3480","50","273","12","20","n/e","186"
"Czech Republic (CZ)","13.03.2021 07:00 - 13.03.2021 08:00 (CET)","284","2184","277","369","176","3","n/e","n/e","n/e","211","0","188","57","n/e","3482","55","272","119","20","n/e","205"
